id,date,year,month,month_name,season,weekday,day_name,day_type,weather,temp,temp_feel,humidity,windspeed,casual,registered,total,yearmonth
40,2011-02-09,2011,2,Feb,Spring,3,Wed,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",5.5,7.21415,0.494783,12.652213,53,1552,1605,2011-Feb
41,2011-02-10,2011,2,Feb,Spring,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",5.9,7.477399999999999,0.437391,14.869645,47,1491,1538,2011-Feb
42,2011-02-11,2011,2,Feb,Spring,5,Fri,Working Day,"Clear, Few clouds, Partly cloudy",7.8,10.67545,0.506364,7.272849999999999,149,1597,1746,2011-Feb
43,2011-02-12,2011,2,Feb,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",9.1,11.6477,0.544167,13.625589,288,1184,1472,2011-Feb
44,2011-02-13,2011,2,Feb,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",13.0,16.20565,0.457391,17.479160999999998,397,1192,1589,2011-Feb
45,2011-02-14,2011,2,Feb,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",17.0,19.9175,0.375833,27.999836,208,1705,1913,2011-Feb
46,2011-02-15,2011,2,Feb,Spring,2,Tue,Working Day,"Clear, Few clouds, Partly cloudy",10.9,12.7137,0.314348,19.522058,140,1675,1815,2011-Feb
47,2011-02-16,2011,2,Feb,Spring,3,Wed,Working Day,"Clear, Few clouds, Partly cloudy",13.0,15.809999999999999,0.423478,16.869996999999998,218,1897,2115,2011-Feb
48,2011-02-17,2011,2,Feb,Spring,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",17.9,21.4329,0.505,15.416968,259,2216,2475,2011-Feb
49,2011-02-18,2011,2,Feb,Spring,5,Fri,Working Day,"Clear, Few clouds, Partly cloudy",21.4,25.599149999999998,0.516667,17.749975000000003,579,2348,2927,2011-Feb
50,2011-02-19,2011,2,Feb,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",16.4,19.5702,0.187917,34.000021,532,1103,1635,2011-Feb
51,2011-02-20,2011,2,Feb,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",11.7,13.8665,0.407826,14.956745,639,1173,1812,2011-Feb
52,2011-02-21,2011,2,Feb,Spring,1,Mon,Holiday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.4,14.203750000000001,0.605,20.625682,195,912,1107,2011-Feb
53,2011-02-22,2011,2,Feb,Spring,2,Tue,Working Day,"Clear, Few clouds, Partly cloudy",7.5,9.30165,0.577778,13.110761,74,1376,1450,2011-Feb
54,2011-02-23,2011,2,Feb,Spring,3,Wed,Working Day,"Clear, Few clouds, Partly cloudy",9.1,12.28585,0.423043,6.3055710000000005,139,1778,1917,2011-Feb
55,2011-02-24,2011,2,Feb,Spring,4,Thu,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.1,14.459549999999998,0.697391,16.783231999999998,100,1707,1807,2011-Feb
56,2011-02-25,2011,2,Feb,Spring,5,Fri,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",14.9,17.52305,0.712174,23.218113,120,1341,1461,2011-Feb
57,2011-02-26,2011,2,Feb,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",11.6,14.1096,0.537917,12.500257,424,1545,1969,2011-Feb
58,2011-02-27,2011,2,Feb,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",14.1,17.55545,0.68,8.391615999999999,694,1708,2402,2011-Feb
59,2011-02-28,2011,2,Feb,Spring,1,Mon,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",16.7,20.005899999999997,0.876364,19.408962,81,1365,1446,2011-Feb
60,2011-03-01,2011,3,Mar,Spring,2,Tue,Working Day,"Clear, Few clouds, Partly cloudy",10.9,13.19395,0.535,14.500475,137,1714,1851,2011-Mar
61,2011-03-02,2011,3,Mar,Spring,3,Wed,Working Day,"Clear, Few clouds, Partly cloudy",13.7,16.00355,0.449583,20.624811,231,1903,2134,2011-Mar
62,2011-03-03,2011,3,Mar,Spring,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",8.1,10.00665,0.318333,15.125518000000001,123,1562,1685,2011-Mar
63,2011-03-04,2011,3,Mar,Spring,5,Fri,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.7,12.783949999999999,0.610417,13.624182,214,1730,1944,2011-Mar
64,2011-03-05,2011,3,Mar,Spring,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",15.8,18.93895,0.789167,16.875357,640,1437,2077,2011-Mar
65,2011-03-06,2011,3,Mar,Spring,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",15.4,18.3126,0.948261,23.000229,114,491,605,2011-Mar
66,2011-03-07,2011,3,Mar,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",10.7,11.92305,0.551304,22.870584,244,1628,1872,2011-Mar
67,2011-03-08,2011,3,Mar,Spring,2,Tue,Working Day,"Clear, Few clouds, Partly cloudy",12.0,15.120000000000001,0.420833,8.083549999999999,316,1817,2133,2011-Mar
68,2011-03-09,2011,3,Mar,Spring,3,Wed,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.1,14.3304,0.775417,14.750050000000002,191,1700,1891,2011-Mar
69,2011-03-10,2011,3,Mar,Spring,4,Thu,Working Day,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",16.0,19.2834,0.0,17.545759,46,577,623,2011-Mar
70,2011-03-11,2011,3,Mar,Spring,5,Fri,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.0,15.25,0.649565,15.60899,247,1730,1977,2011-Mar
71,2011-03-12,2011,3,Mar,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",13.5,16.287499999999998,0.594583,14.791924999999999,724,1408,2132,2011-Mar
72,2011-03-13,2011,3,Mar,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",15.8,19.004550000000002,0.527391,18.130468,982,1435,2417,2011-Mar
73,2011-03-14,2011,3,Mar,Spring,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",13.3,16.6,0.496957,9.174042,359,1687,2046,2011-Mar
74,2011-03-15,2011,3,Mar,Spring,2,Tue,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.0,15.908900000000001,0.655652,12.348703,289,1767,2056,2011-Mar
75,2011-03-16,2011,3,Mar,Spring,3,Wed,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",15.0,18.3465,0.776522,13.608839,321,1871,2192,2011-Mar
76,2011-03-17,2011,3,Mar,Spring,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",17.0,20.51665,0.602917,14.041792999999998,424,2320,2744,2011-Mar
77,2011-03-18,2011,3,Mar,Spring,5,Fri,Working Day,"Clear, Few clouds, Partly cloudy",22.1,26.35045,0.525217,15.478139,884,2355,3239,2011-Mar
78,2011-03-19,2011,3,Mar,Spring,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",19.4,23.32625,0.379167,24.667189,1424,1693,3117,2011-Mar
79,2011-03-20,2011,3,Mar,Spring,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",13.6,16.287499999999998,0.47375,13.917307,1047,1424,2471,2011-Mar
80,2011-03-21,2011,3,Mar,Summer,1,Mon,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",17.6,20.48675,0.737391,19.348461,401,1676,2077,2011-Mar
81,2011-03-22,2011,3,Mar,Summer,2,Tue,Working Day,"Clear, Few clouds, Partly cloudy",18.1,22.0321,0.624583,15.125250000000001,460,2243,2703,2011-Mar
82,2011-03-23,2011,3,Mar,Summer,3,Wed,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",14.2,16.89695,0.839565,15.695487,203,1918,2121,2011-Mar
83,2011-03-24,2011,3,Mar,Summer,4,Thu,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",11.7,13.541649999999999,0.805833,16.333729,166,1699,1865,2011-Mar
84,2011-03-25,2011,3,Mar,Summer,5,Fri,Working Day,"Clear, Few clouds, Partly cloudy",10.8,12.8156,0.495,15.458575000000002,300,1910,2210,2011-Mar
85,2011-03-26,2011,3,Mar,Summer,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",10.9,12.87855,0.394167,14.041257,981,1515,2496,2011-Mar
86,2011-03-27,2011,3,Mar,Summer,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.4,12.51695,0.493913,12.348099999999999,472,1221,1693,2011-Mar
87,2011-03-28,2011,3,Mar,Summer,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",10.8,12.878700000000002,0.302174,14.217668,222,1806,2028,2011-Mar
88,2011-03-29,2011,3,Mar,Summer,2,Tue,Working Day,"Clear, Few clouds, Partly cloudy",12.4,14.6454,0.314167,15.208732,317,2108,2425,2011-Mar
89,2011-03-30,2011,3,Mar,Summer,3,Wed,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.3,14.8675,0.646667,11.583495999999998,168,1368,1536,2011-Mar
90,2011-03-31,2011,3,Mar,Summer,4,Thu,Working Day,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",11.0,12.87875,0.918333,14.582282000000001,179,1506,1685,2011-Mar
91,2011-04-01,2011,4,Apr,Summer,5,Fri,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.3,14.172699999999999,0.68625,17.333436,307,1920,2227,2011-Apr
92,2011-04-02,2011,4,Apr,Summer,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.9,15.78185,0.65375,13.208782,898,1354,2252,2011-Apr
93,2011-04-03,2011,4,Apr,Summer,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",15.5,18.93835,0.48,12.208271000000002,1651,1598,3249,2011-Apr
94,2011-04-04,2011,4,Apr,Summer,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",23.5,27.14645,0.42625,25.833257,734,2381,3115,2011-Apr
95,2011-04-05,2011,4,Apr,Summer,2,Tue,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",17.0,19.9175,0.642083,26.000488999999998,167,1628,1795,2011-Apr
96,2011-04-06,2011,4,Apr,Summer,3,Wed,Working Day,"Clear, Few clouds, Partly cloudy",16.0,19.3804,0.470833,17.625221,413,2395,2808,2011-Apr
97,2011-04-07,2011,4,Apr,Summer,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",17.9,21.684800000000003,0.602917,10.874904,571,2570,3141,2011-Apr
98,2011-04-08,2011,4,Apr,Summer,5,Fri,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.8,16.223950000000002,0.83625,15.208464,172,1299,1471,2011-Apr
99,2011-04-09,2011,4,Apr,Summer,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",14.0,17.07645,0.8775,8.916561,879,1576,2455,2011-Apr
100,2011-04-10,2011,4,Apr,Summer,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",17.5,21.33685,0.8575,9.833389,1188,1707,2895,2011-Apr
101,2011-04-11,2011,4,Apr,Summer,1,Mon,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",24.4,28.260849999999998,0.716956,21.739758,855,2493,3348,2011-Apr
102,2011-04-12,2011,4,Apr,Summer,2,Tue,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",20.6,24.6527,0.739167,18.416892999999998,257,1777,2034,2011-Apr
103,2011-04-13,2011,4,Apr,Summer,3,Wed,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",16.9,20.864150000000002,0.819167,16.791338999999997,209,1953,2162,2011-Apr
104,2011-04-14,2011,4,Apr,Summer,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",19.2,23.1371,0.540417,7.4169,529,2738,3267,2011-Apr
105,2011-04-15,2011,4,Apr,Summer,5,Fri,Holiday,"Clear, Few clouds, Partly cloudy",18.3,22.09565,0.67125,15.167124999999999,642,2484,3126,2011-Apr
106,2011-04-16,2011,4,Apr,Summer,6,Sat,Weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",17.7,21.2746,0.888333,22.834136,121,674,795,2011-Apr
107,2011-04-17,2011,4,Apr,Summer,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",18.7,22.2848,0.479583,20.334232,1558,2186,3744,2011-Apr
108,2011-04-18,2011,4,Apr,Summer,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",21.0,25.1573,0.5425,10.958988999999999,669,2760,3429,2011-Apr
109,2011-04-19,2011,4,Apr,Summer,2,Tue,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",20.7,24.4629,0.665833,10.584057,409,2795,3204,2011-Apr
110,2011-04-20,2011,4,Apr,Summer,3,Wed,Working Day,"Clear, Few clouds, Partly cloudy",24.4,28.2196,0.614167,16.208975,613,3331,3944,2011-Apr
111,2011-04-21,2011,4,Apr,Summer,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",18.8,22.6946,0.407083,21.792286,745,3444,4189,2011-Apr
112,2011-04-22,2011,4,Apr,Summer,5,Fri,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.8,16.0977,0.729583,14.707906999999999,177,1506,1683,2011-Apr
113,2011-04-23,2011,4,Apr,Summer,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",18.9,22.50605,0.887917,15.458575000000002,1462,2574,4036,2011-Apr
114,2011-04-24,2011,4,Apr,Summer,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",23.8,27.58815,0.810833,12.875725000000001,1710,2481,4191,2011-Apr
115,2011-04-25,2011,4,Apr,Summer,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",24.9,28.725,0.776667,12.417311,773,3300,4073,2011-Apr
116,2011-04-26,2011,4,Apr,Summer,2,Tue,Working Day,"Clear, Few clouds, Partly cloudy",25.9,29.704150000000002,0.729167,21.875500000000002,678,3722,4400,2011-Apr
117,2011-04-27,2011,4,Apr,Summer,3,Wed,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",25.4,28.7571,0.835417,20.917399999999997,547,3325,3872,2011-Apr
118,2011-04-28,2011,4,Apr,Summer,4,Thu,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",25.3,28.946450000000002,0.700833,21.500836000000003,569,3489,4058,2011-Apr
119,2011-04-29,2011,4,Apr,Summer,5,Fri,Working Day,"Clear, Few clouds, Partly cloudy",20.9,24.87315,0.457083,16.084221,878,3717,4595,2011-Apr
120,2011-04-30,2011,4,Apr,Summer,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",19.4,23.201050000000002,0.503333,15.750025,1965,3347,5312,2011-Apr
121,2011-05-01,2011,5,May,Summer,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",18.5,22.4102,0.762083,7.125718,1138,2213,3351,2011-May
122,2011-05-02,2011,5,May,Summer,1,Mon,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",22.5,26.64165,0.73,12.291418,847,3554,4401,2011-May
123,2011-05-03,2011,5,May,Summer,2,Tue,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",25.3,29.10395,0.697083,22.958689,603,3848,4451,2011-May
124,2011-05-04,2011,5,May,Summer,3,Wed,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",17.0,20.2325,0.737083,22.042732,255,2378,2633,2011-May
125,2011-05-05,2011,5,May,Summer,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",18.8,22.09585,0.444167,19.791263999999998,614,3819,4433,2011-May
126,2011-05-06,2011,5,May,Summer,5,Fri,Working Day,"Clear, Few clouds, Partly cloudy",19.6,23.70585,0.59,15.292482,894,3714,4608,2011-May
127,2011-05-07,2011,5,May,Summer,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",21.3,25.63105,0.54125,10.750150000000001,1612,3102,4714,2011-May
128,2011-05-08,2011,5,May,Summer,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",21.7,25.946649999999998,0.631667,5.0007125,1401,2932,4333,2011-May
129,2011-05-09,2011,5,May,Summer,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",21.8,26.2623,0.58875,11.792,664,3698,4362,2011-May
130,2011-05-10,2011,5,May,Summer,2,Tue,Working Day,"Clear, Few clouds, Partly cloudy",21.8,26.13605,0.489167,7.749956999999999,694,4109,4803,2011-May
131,2011-05-11,2011,5,May,Summer,3,Wed,Working Day,"Clear, Few clouds, Partly cloudy",22.2,26.419999999999998,0.632917,8.083014,550,3632,4182,2011-May
132,2011-05-12,2011,5,May,Summer,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",21.9,26.16815,0.7475,12.707689,695,4169,4864,2011-May
133,2011-05-13,2011,5,May,Summer,5,Fri,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",21.0,24.715,0.863333,12.041575,692,3413,4105,2011-May
134,2011-05-14,2011,5,May,Summer,6,Sat,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",21.4,25.03145,0.9225,9.041649999999999,902,2507,3409,2011-May
135,2011-05-15,2011,5,May,Summer,0,Sun,Weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",23.1,26.8,0.867083,10.249593,1582,2971,4553,2011-May
136,2011-05-16,2011,5,May,Summer,1,Mon,Working Day,"Clear, Few clouds, Partly cloudy",23.7,27.5256,0.787917,8.500357000000001,773,3185,3958,2011-May
137,2011-05-17,2011,5,May,Summer,2,Tue,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",23.0,26.926450000000003,0.837917,18.582718,678,3445,4123,2011-May
138,2011-05-18,2011,5,May,Summer,3,Wed,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",22.6,26.3579,0.87,13.499964,536,3319,3855,2011-May
139,2011-05-19,2011,5,May,Summer,4,Thu,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",21.8,25.537100000000002,0.829583,7.250271000000001,735,3840,4575,2011-May
140,2011-05-20,2011,5,May,Summer,5,Fri,Working Day,"Clear, Few clouds, Partly cloudy",22.0,26.4521,0.719583,8.375871,909,4008,4917,2011-May
141,2011-05-21,2011,5,May,Summer,6,Sat,Weekend,"Clear, Few clouds, Partly cloudy",24.7,28.59875,0.626667,8.083549999999999,2258,3547,5805,2011-May
142,2011-05-22,2011,5,May,Summer,0,Sun,Weekend,"Clear, Few clouds, Partly cloudy",24.8,28.725,0.749583,9.916536,1576,3084,4660,2011-May
143,2011-05-23,2011,5,May,Summer,1,Mon,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",25.9,29.5148,0.81,15.667413999999999,836,3438,4274,2011-May
144,2011-05-24,2011,5,May,Summer,2,Tue,Working Day,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",27.1,30.240650000000002,0.740833,13.875164,659,3833,4492,2011-May
145,2011-05-25,2011,5,May,Summer,3,Wed,Working Day,"Clear, Few clouds, Partly cloudy",27.1,30.7771,0.69625,10.333611000000001,740,4238,4978,2011-May
146,2011-05-26,2011,5,May,Summer,4,Thu,Working Day,"Clear, Few clouds, Partly cloudy",29.0,32.7344,0.6775,13.376014,758,3919,4677,2011-May
